"","player","ROI","salary","gp","PVWS","position","Z_val"
"202","Josh Richardson",-0.0128141031649848,12196094,64,2.2715233862307,"SG",-0.755260272980958
"207","Kentavious Caldwell-Pope",0.0194321549236485,14004703,76,3.50818232866705,"SG",-0.0519494382925637
"210","Davon Reed",0.0187959506483533,1902133,43,0.499513341256228,"SG",-0.0658254470579937
"214","Christian Braun",0.0662353511141496,2808600,76,2.02025630827948,"SG",0.968857220524981
"220","Jordan Clarkson",-0.0247598299074256,13340000,61,2.59442478529845,"SG",-1.01580396220817
"225","Malik Beasley",-0.00249447764903776,15558035,81,2.95119583764138,"SG",-0.530182857321038
"226","Talen Horton-Tucker",-0.0186655563140657,10260000,65,1.9448002086524,"SG",-0.882884085551967
"228","Ochai Agbaji",-0.0107024382734329,3918360,59,1.31235761799966,"SG",-0.70920355553556
"229","Nickeil Alexander-Walker",-0.00474593392549116,5009633,58,1.24391345140998,"SG",-0.579288511338458
"237","Josh Green",0.0714270539132309,3098400,60,2.21145967130977,"SG",1.08209146987694
"240","Devin Booker",-0.00576599964980795,33833400,53,3.81302754182155,"SG",-0.601536775742791
"245","Damion Lee",0.149074015614639,2133278,74,2.47611899135208,"SG",2.77561973275731
"246","Josh Okogie",0.0724645220417652,1968175,72,2.50455577154912,"SG",1.10471929148143
"252","Anfernee Simons",-0.0211432990271941,22321429,62,2.7354507089802,"SG",-0.936925186721708
"255","Shaedon Sharpe",-0.00240957562841793,6012960,80,2.49564896656062,"SG",-0.528331091735563
"259","Kevin Huerter",-0.00370715415759171,14508929,75,4.1212002147752,"SG",-0.556632082068102
"261","Malik Monk",0.00443097871173381,9472219,77,3.07661883528909,"SG",-0.379134370383286
"262","Terence Davis",0.0483786941453475,4e+06,64,1.55780277482528,"SG",0.579392486881995
"266","Grayson Allen",0.0387925932579058,8925000,72,3.40376309552318,"SG",0.370313697088078
"279","Norman Powell",0.00443366987263083,16758621,60,2.61872397499309,"SG",-0.379075674499517
"283","Luke Kennard",0.00188501602139124,13745455,58,2.61479692581859,"SG",-0.434663391453223
"284","Terance Mann",0.116071439001453,1930681,81,3.51572061502419,"SG",2.05581312323106
"286","Andrew Nembhard",0.02675684193042,2244111,75,2.42762588262675,"SG",0.107806515976735
"297","Zach LaVine",-0.0152124327208837,37096500,76,5.24207985919998,"SG",-0.807569324070879
"303","Jaden Hardy",0.0350905856732324,1017781,48,1.08770568434999,"SG",0.289570621806509
"304","Aaron Wiggins",0.0383873614089909,1563518,70,2.4281522359465,"SG",0.361475339808939
"312","Shake Milton",0.0804875351068508,1997718,76,2.4194559722859,"SG",1.27970616902895
"318","Ty Jerome",0.0270440153996971,4728948,45,1.43076868260998,"SG",0.114069946971503
"320","Seth Curry",0.0100091558069522,8496653,61,1.646829623263,"SG",-0.257470877580671
"322","Malaki Branham",0.00196395956571283,2925600,63,1.62242516290441,"SG",-0.432941583921401
"323","Quentin Grimes",0.058511769481034,2277000,71,3.13773525684952,"SG",0.800401127720673
"326","Frank Ntilikina",0.0047928819259051,2036318,47,0.470866019731286,"SG",-0.371241037428634
"327","Alec Burks",-0.0200350732937732,10012800,50,2.20041541843393,"SG",-0.912754097987845
"332","Gary Harris",-0.0251780804559635,1.3e+07,48,1.63206886254056,"SG",-1.02492626537875
"338","Bogdan Bogdanovic",-0.0116308780195403,1.8e+07,54,2.55483848156161,"SG",-0.729453400680317
"340","Victor Oladipo",0.00500182647824698,8750000,42,1.24559778203319,"SG",-0.366683827500362
"1","Tobias Harris",0.00332135442399162,37633050,74,5.26648431955858,"SF",-0.461455276850617
"8","Danuel House Jr.",0.0187406211391388,4105000,56,1.14734831661512,"SF",-0.207349695931186
"11","Jaylen Brown",0.0144917572512333,29776785,67,5.17447785792191,"SF",-0.277369888617989
"12","Jayson Tatum",0.0349095569919347,30351780,74,8.23830404049527,"SF",0.0591102410830443
"18","Sam Hauser",0.152500730808827,1637966,80,2.79000831476738,"SF",1.99698277975481
"26","Juan Toscano-Anderson",0.0444197312994072,2133278,52,1.0388967636328,"SF",0.21583548695167
"30","Klay Thompson",-0.00397537417627225,40600080,68,3.69854352638574,"SF",-0.581703502271095
"39","Franz Wagner",0.0127917429552862,5258280,80,4.37471001127772,"SF",-0.305385690421237
"43","Caleb Houstan",0.000504459936304436,2e+06,51,0.861579961405009,"SF",-0.507876979218561
"47","Saddiq Bey",0.0301266947529921,2959080,76,4.01625462831158,"SF",-0.0197101081680792
"53","Kevin Knox II",0.00151642850527933,3e+06,62,1.63059507324526,"SF",-0.491199995426656
"55","Hamidou Diallo",-0.00916290062647374,5200000,55,1.93778827561501,"SF",-0.667192614465286
"56","Deni Avdija",0.0101333265287133,4916160,76,4.16948278217263,"SF",-0.349195714780986
"66","Buddy Hield",-0.011622030356076,21177750,80,5.491662606528,"SF",-0.707718444911099
"68","Chris Duarte",-0.0116447535951082,3936960,46,0.954849671009081,"SF",-0.708092918092043
"74","Aaron Nesmith",0.0202469377587637,3804360,73,2.5649352984619,"SF",-0.182525982407742
"79","KJ Martin",0.0581880471800416,1782621,82,5.26564215424698,"SF",0.44273381939273
"84","De'Andre Hunter",0.00255559265389449,9835881,67,2.65427795889148,"SF",-0.474074835421796
"89","Jalen Johnson",0.0414961188671079,2792640,70,2.81525494043757,"SF",0.167655100087819
"92","Justin Holiday",-0.0083049226139571,5987975,46,0.543553047487313,"SF",-0.653053355749923
"93","Brandon Ingram",-0.00693281941019963,31650600,45,3.02756733863566,"SF",-0.630441445072634
"98","Trey Murphy III",0.171960196434969,3206520,79,4.84256438320171,"SF",2.31766980778676
"101","Naji Marshall",0.173617927289302,1782621,77,2.887099802882,"SF",2.3449887892617
"104","Royce O'Neale",0.0355583930156798,9200000,76,3.72592759994328,"SF",0.0698028931903743
"111","Yuta Watanabe",0.130095777712972,1968175,58,1.86489070653108,"SF",1.6277548698243
"112","DeMar DeRozan",-0.013520239758219,27300000,73,5.33110670763771,"SF",-0.739000451490856
"121","Caleb Martin",0.0231073520812732,6479000,71,3.63371059697871,"SF",-0.135387084266917
"125","Max Strus",0.0646318654606455,1815677,80,2.95936574798222,"SF",0.548926300382996
"127","Duncan Robinson",-0.0291627516437478,16902000,42,0.604458927719844,"SF",-0.996785055852535
"134","Isaac Okoro",0.00249662039014797,7040880,76,2.43558525163969,"SF",-0.47504668328034
"137","Cedi Osman",0.00238019454373894,7426088,77,2.28628414695314,"SF",-0.476965351520688
"139","OG Anunoby",-0.00333974548991978,17357143,67,4.08575150154076,"SF",-0.571228503713869
"140","Scottie Barnes",0.0201543825272397,7644600,77,5.23794226869759,"SF",-0.184051269005868
