"","player","GP","PVWL","WLpg","position","Z_val"
"106","Brandon Ingram",45,1.99170518756797,0.0442601152792882,"SF",0.066977813406441
"112","Trey Murphy III",79,3.53582066244616,0.0447572235752678,"SF",1.21557189248931
"115","Naji Marshall",77,2.86149037456665,0.0371622126567098,"SF",0.713969655735779
"118","Royce O'Neale",76,2.71533225700525,0.035728056013227,"SF",0.60524958189922
"127","Yuta Watanabe",58,2.3124941425339,0.0398705886643776,"SF",0.305597463493243
"128","Kessler Edwards",36,1.32215836364564,0.0367266212123789,"SF",-0.431066231963027
"129","DeMar DeRozan",73,3.83608934997,0.0525491691776712,"SF",1.43892749136451
"134","Javonte Green",32,1.77856184527797,0.0555800576649364,"SF",-0.0915693839587984
"139","Caleb Martin",71,2.73458853155525,0.0385153314303556,"SF",0.619573408901256
"143","Max Strus",80,1.68093617134549,0.0210117021418186,"SF",-0.164188480697121
"146","Duncan Robinson",42,0.9862641711367,0.0234824802651595,"SF",-0.680921950004146
"153","Isaac Okoro",76,2.71592058689103,0.0357357971959346,"SF",0.60568721252617
"156","Cedi Osman",77,3.10116625557891,0.0402748864360898,"SF",0.892253147034489
"158","OG Anunoby",67,3.20424556742971,0.0478245607079062,"SF",0.968928945699811
"159","Scottie Barnes",77,3.26551263117722,0.0424092549503535,"SF",1.01450260117317
"175","Cam Reddish",40,0.707593303559269,0.0176898325889817,"SF",-0.888211957597377
"181","John Konchar",72,3.90397009620984,0.0542218068918033,"SF",1.48942075076336
"188","Luguentz Dort",74,1.86416427401816,0.0251914091083535,"SF",-0.0278938076138014
"199","Eugene Omoruyi",40,1.62656721283838,0.0406641803209594,"SF",-0.204630963686999
"201","Jaden McDaniels",78,2.0639134487035,0.0264604288295321,"SF",0.1206901053629
"212","Gordon Hayward",50,2.08323645472797,0.0416647290945593,"SF",0.135063570735709
"215","Kelly Oubre Jr.",48,1.60677342630434,0.0334744463813405,"SF",-0.219354620295269
"217","Jalen McDaniels",78,3.19546941057136,0.0409675565457866,"SF",0.962400779919072
"219","Cody Martin",7,0.181506096783702,0.0259294423976717,"SF",-1.27954321527507
"227","Keldon Johnson",61,1.65829182747342,0.0271851119257938,"SF",-0.181032531365173
"233","Doug McDermott",63,1.42855524660374,0.0226754801048213,"SF",-0.351922649901465
"240","Michael Porter Jr.",62,3.40721101001064,0.0549550162904942,"SF",1.11990528743052
"245","Bruce Brown",80,3.15812892117667,0.0394766115147083,"SF",0.934624965398345
"265","Simone Fontecchio",52,1.1682969177065,0.0224672484174327,"SF",-0.545516445486577
"268","Leandro Bolmaro",14,0.374875717238841,0.0267768369456315,"SF",-1.13570474934246
"269","Reggie Bullock Jr.",78,2.44294423904477,0.0313197979364714,"SF",0.402633087386587
"274","Tim Hardaway Jr.",71,2.50970139101045,0.0353479069156401,"SF",0.452290558431792
"278","Mikal Bridges",82,3.4811722289242,0.0424533198649292,"SF",1.17492152132492
"290","Josh Hart",76,5.24242707788334,0.0689793036563598,"SF",2.48503525581104
"298","Nassir Little",54,1.78626649367007,0.0330790091420382,"SF",-0.085838262375888
