"","player","GP","PVWS","WSpg","position","Z_val"
"231","Tre Jones",65,3.56579278370878,0.0548583505185966,"PG",0.753086412100692
"244","Jamal Murray",65,4.15451148012229,0.0639155612326506,"PG",1.06394552148831
"247","Bones Hyland",56,1.62719437739051,0.029057042453402,"PG",-0.27054503993166
"250","Ish Smith",43,0.410802304810357,0.00955354197233387,"PG",-0.912832364339706
"259","Mike Conley",66,3.55359055352948,0.0538422811140831,"PG",0.746643310447582
"260","Collin Sexton",48,1.64416582205591,0.0342534546261647,"PG",-0.261583666348918
"272","Spencer Dinwiddie",79,4.51997879612582,0.0572149214699471,"PG",1.256921971965
"273","Luka Doncic",66,8.02543325436909,0.121597473551047,"PG",3.10789503860422
"282","Chris Paul",59,4.33659749683618,0.0735016524887489,"PG",1.16009177492386
"285","Cameron Payne",48,1.26109543740328,0.0262728216125683,"PG",-0.463855004649081
"294","Damian Lillard",58,5.77624094982632,0.099590361203902,"PG",1.92026175824284
"303","De'Aaron Fox",73,5.38352686553754,0.073746943363528,"PG",1.71289829037662
"306","Davion Mitchell",80,1.65692644016329,0.0207115805020412,"PG",-0.254845721037747
"312","Jevon Carter",81,2.66490112911152,0.0329000139396484,"PG",0.277391688782208
"313","Jrue Holiday",67,5.13012233969897,0.0765689901447608,"PG",1.57909396974462
"315","George Hill",46,1.35808165485395,0.0295235142359554,"PG",-0.412643705664935
"324","Reggie Jackson",68,1.49689689459275,0.022013189626364,"PG",-0.339345571840555
"325","John Wall",34,0.899660441238201,0.0264606012128883,"PG",-0.654702283143659
"335","Cole Anthony",60,3.25179818962953,0.0541966364938256,"PG",0.587288926030294
"341","Miles McBride",64,0.719080248427952,0.0112356288816867,"PG",-0.750053421560044
"343","Ryan Arcidiacono",20,0.118864181874457,0.00594320909372283,"PG",-1.06698344777736
"348","Payton Pritchard",48,0.938509850327385,0.0195522885484872,"PG",-0.634188763217639
"350","Malachi Flynn",53,0.724270545569853,0.013665481991884,"PG",-0.747312806803255
"360","Daishen Nix",57,0.659332345498873,0.0115672341315592,"PG",-0.781601901344124
"361","Trevor Hudgins",5,0.00753828635714633,0.00150765727142927,"PG",-1.12576647767452
"367","Kennedy Chandler",36,0.500250235903879,0.0138958398862189,"PG",-0.865601480785828
"373","McKinley Wright IV",27,0.606037987679097,0.0224458513955221,"PG",-0.809742737889943
"383","Vit Krejci",29,0.311468098144442,0.0107402792463601,"PG",-0.965283463997331
"391","Jason Preston",14,0.240465401011619,0.0171761000722585,"PG",-1.00277477407342
"408","Jordan Goodwin",62,2.46125295996569,0.0396976283865434,"PG",0.169860046123748
"409","Facundo Campazzo",8,0.0636749521035774,0.00795936901294718,"PG",-1.09612482704539
"421","Matthew Dellavedova",32,0.238570529060515,0.00745532903314109,"PG",-1.00377531679562
"437","Jeff Dowtin Jr.",25,0.396567897407666,0.0158627158963066,"PG",-0.920348509545927
"453","LaMelo Ball",36,2.58495959238186,0.0718044331217182,"PG",0.235180433963479
"455","TyTy Washington Jr.",31,0.37980699407017,0.0122518385183926,"PG",-0.929198711715091
"463","Dennis Schroder",66,2.18260180845693,0.0330697243705595,"PG",0.0227248365312099
"471","Devon Dotson",6,0.0598531735930292,0.00997552893217153,"PG",-1.09814282761392
"472","Saben Lee",25,0.578022290137857,0.0231208916055143,"PG",-0.824535770351113
"475","Markelle Fultz",60,3.35260618559075,0.0558767697598459,"PG",0.640518225582968
"484","Kemba Walker",9,0.224862474977575,0.0249847194419528,"PG",-1.0110135334679
"486","Kira Lewis Jr.",25,0.489311253691986,0.0195724501476794,"PG",-0.871377553957467
"495","Ricky Rubio",33,0.738472918364203,0.0223779672231577,"PG",-0.739813576721148
"503","Jamaree Bouyea",5,0.0680230839338768,0.0136046167867754,"PG",-1.09382889794291
