"","player","ROI","salary","gp","PVGS","position","Z_val"
"132","Caris LeVert",-0.00327670907386346,18796296,74,3.83330997565447,"SG",-0.555937810964693
"142","Gary Trent Jr.",-0.0038529802998496,17280000,66,4.47776541243072,"SG",-0.566094514381593
"148","RJ Barrett",0.024048176729744,10900634,73,4.76640170638692,"SG",-0.0743403469702192
"152","Immanuel Quickley",0.0610927631601434,2316240,81,5.29492147363354,"SG",0.578565542841372
"155","Desmond Bane",0.20536178788422,2130240,58,5.29064498427617,"SG",3.12128784146114
"170","Jalen Williams",0.030837440533211,4341480,75,4.97165529402933,"SG",0.0453195210943535
"173","Isaiah Joe",0.0354448413541939,1836090,73,2.74830895628728,"SG",0.126524345405037
"176","Anthony Edwards",0.0350580487716476,10733400,78,7.52419185283871,"SG",0.119707177780439
"180","Jaylen Nowell",0.0597039993583275,1930681,65,2.49969691529446,"SG",0.554088766255775
"182","Austin Rivers",-0.0257729001320822,2905851,52,0.936587671788066,"SG",-0.952430174776986
"187","Terry Rozier",-0.0126139509098014,21486316,63,5.11749555603617,"SG",-0.720505451657162
"192","Bryce McGowens",0.00591781558919413,1461055,46,0.740388811168452,"SG",-0.393885541389294
"202","Josh Richardson",-0.0127838047846723,12196094,64,2.6284285418886,"SG",-0.723499103523647
"207","Kentavious Caldwell-Pope",0.0194400930070981,14004703,76,3.74906585070462,"SG",-0.155557207331535
"210","Davon Reed",-0.0195711915297851,1902133,43,0.148405084427964,"SG",-0.843125888685343
"214","Christian Braun",0.0354480609075822,2808600,76,1.42948790508965,"SG",0.126581089603645
"220","Jordan Clarkson",-0.00838624615247541,13340000,61,4.59577241922458,"SG",-0.645992719773145
"225","Malik Beasley",-3.46680713940728e-05,15558035,81,3.43026850494925,"SG",-0.498797271158696
"226","Talen Horton-Tucker",-0.0120747365575361,10260000,65,2.68550290060212,"SG",-0.711001870691927
"228","Ochai Agbaji",-0.00272002567621077,3918360,59,1.54648850808267,"SG",-0.546126340406892
"229","Nickeil Alexander-Walker",-0.00555425263758502,5009633,58,1.25086323919997,"SG",-0.596079212188058
"237","Josh Green",0.0526411975032632,3098400,60,2.17776329881148,"SG",0.429607826553353
"240","Devin Booker",0.0110062376879907,33833400,53,6.13389470791606,"SG",-0.304202781280912
"245","Damion Lee",0.111920024966409,2133278,74,2.20660854299322,"SG",1.47438924595266
"246","Josh Okogie",0.0549532154534476,1968175,72,2.34000134792767,"SG",0.470356834235262
"252","Anfernee Simons",-0.00392705724958453,22321429,62,4.82546653203038,"SG",-0.567400110730255
