"","player","GP","PVGS","GSpg","position","Z_val"
"396","Jaden Springer",16,0.139997090878011,0.00874981817987567,"SG",-0.929828476111533
"402","Keon Johnson",40,0.4578800735027,0.0114470018375675,"SG",-0.769767516794402
"405","Johnny Davis",28,0.390942513624954,0.0139622326294627,"SG",-0.803472026422178
"410","Ty Jerome",45,1.45171210782403,0.0322602690627561,"SG",-0.269351585434597
"415","Dru Smith",15,0.19200882676447,0.0128005884509647,"SG",-0.903639441791426
"417","David Duke Jr.",23,0.197874338565026,0.00860323211152286,"SG",-0.900686029696412
"427","Blake Wesley",34,0.298243035798465,0.0087718539940725,"SG",-0.850148219109796
"430","Garrett Temple",25,0.134608308730561,0.00538433234922242,"SG",-0.932541844511911
"431","Dereon Seabron",5,-0.0137159053631115,-0.00274318107262229,"SG",-1.0072262953805
"432","Seth Curry",61,2.01906296490965,0.0330993928673714,"SG",0.0163218460423496
"436","Malaki Branham",63,2.11942607697516,0.0336416837615105,"SG",0.0668568443760725
"440","Quentin Grimes",71,3.27189433036782,0.0460830187375749,"SG",0.647149544216368
"449","Frank Ntilikina",47,0.29219076467437,0.00621682478030574,"SG",-0.853195668564849
"450","JD Davison",12,0.0465588389085184,0.00387990324237653,"SG",-0.976876657563921
"451","Alec Burks",50,2.60377891672994,0.0520755783345988,"SG",0.310738978421159
"457","A.J. Lawson",15,0.147655139949094,0.00984367599660625,"SG",-0.925972482718321
"460","Keon Ellis",16,0.0650753226087932,0.00406720766304958,"SG",-0.967553207406964
"462","Gary Harris",48,1.59476459909536,0.0332242624811534,"SG",-0.197321561063556
"469","Kendall Brown",6,0.0223803582350286,0.0037300597058381,"SG",-0.989051045697175
"477","Bogdan Bogdanovic",54,3.05804040468398,0.0566303778645182,"SG",0.539469465792344
"480","Trevelin Queen",7,0.0446910164716326,0.00638443092451894,"SG",-0.977817146572214
"481","Victor Oladipo",42,1.6544984988834,0.0393928214019856,"SG",-0.167244250145927
"483","Alondes Williams",1,-0.0172480354095428,-0.0172480354095428,"SG",-1.00900479927837
"490","Gary Payton II",22,0.570551242643736,0.0259341473928971,"SG",-0.713035145431859
"494","Jared Rhoden",14,0.12534448171249,0.00895317726517783,"SG",-0.937206381843282
"498","Danny Green",11,0.169296724041119,0.0153906112764654,"SG",-0.915075476900926
"505","Stanley Umude",1,0.0133200460442979,0.0133200460442979,"SG",-0.99361310890983
"511","Johnny Juzang",18,0.190612148812756,0.0105895638229309,"SG",-0.904342699357976
"514","Sam Merrill",5,0.109755168744559,0.0219510337489118,"SG",-0.945055938205624
"522","Xavier Moon",4,0.00832712321566125,0.00208178080391531,"SG",-0.996127153578561
"525","Kobi Simmons",5,0.0168521760907293,0.00337043521814585,"SG",-0.991834605011959
"526","Lester Quinones",4,0.0125227422387374,0.00313068555968436,"SG",-0.994014568626017
"528","Shaquille Harrison",4,0.222303693392546,0.0555759233481366,"SG",-0.888385320998809
"529","Nate Williams",4,0.17315501340794,0.0432887533519849,"SG",-0.913132744728612
"530","Jay Scrubb",2,0.0530125545193604,0.0265062772596802,"SG",-0.973627072124329
"532","Donovan Williams",2,0.00206575209629253,0.00103287604814627,"SG",-0.999279889405222
"534","Gabe York",3,0.0927050629944229,0.0309016876648076,"SG",-0.953641035338828
"535","Mac McClung",2,0.111151846696273,0.0555759233481366,"SG",-0.944352680639074
"1","Tobias Harris",74,4.9769158465158,0.0672556195475108,"SF",1.34656248834283
"8","Danuel House Jr.",56,0.88138113551143,0.0157389488484184,"SF",-0.590781864370906
"11","Jaylen Brown",67,6.96290443721304,0.103923946824075,"SF",2.28601094922467
"12","Jayson Tatum",74,9.7850952469611,0.132231016850826,"SF",3.62101499957617
"20","Sam Hauser",80,2.04737853494366,0.0255922316867958,"SF",-0.0392205576142209
"28","Juan Toscano-Anderson",52,0.533208871426598,0.0102540167582038,"SF",-0.75548064418686
"30","Matt Ryan",33,0.266342391223401,0.00807098155222428,"SF",-0.881718682643984
"31","Cole Swider",7,0.0153216833100994,0.00218881190144277,"SF",-1.00046106555759
"34","Andrew Wiggins",36,2.55215745499436,0.0708932626387322,"SF",0.199559152273608
"37","Klay Thompson",68,5.32374996231148,0.0782904406222276,"SF",1.51062827290565
"47","Franz Wagner",80,6.05419470198141,0.0756774337747677,"SF",1.85615653508023
"51","Caleb Houstan",51,0.53427380488999,0.0104759569586273,"SF",-0.754976889982122
"54","Chuma Okeke",27,0.573018439226776,0.0212229051565473,"SF",-0.736649198037858
"56","Saddiq Bey",76,4.31847128955067,0.0568219906519825,"SF",1.0350930627306
"63","Kevin Knox II",62,1.24900100193101,0.0201451774505002,"SF",-0.416883625823516
