"","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_ID","PLAYER_NAME","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","PF","PTS","STL","BLK","TO","OREB","DREB","AST","BLKA","PFD","POSS","SCREEN_ASSISTS","DEFLECTIONS","CHARGES_DRAWN","CONTESTED_SHOTS_2PT","CONTESTED_SHOTS_3PT","OFF_BOXOUTS","DEF_BOXOUTS","OFF_LOOSE_BALLS_RECOVERED","DEF_LOOSE_BALLS_RECOVERED","D_FGM","D_FGA","DRIVES","DIST_MILES_OFF","DIST_MILES_DEF","TOUCHES","PASSES_MADE","PASSES_RECEIVED","SECONDARY_AST","POTENTIAL_AST","FT_AST","OREB_CONTEST","OREB_CHANCES","DREB_CONTEST","DREB_CHANCES"
"42",22200002,1610612747,"LAL",1631108,"Max Christie",1.86666666666667,1,1,1,1,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,2,1,0,0,0,0,0,0,1
"44",22200002,1610612744,"GSW",203952,"Andrew Wiggins",29.4666666666667,8,14,4,7,0,0,5,20,1,1,1,1,5,4,0,1,73,2,5,0,4,5,0,1,0,0,6,13,2,1.1,1.1,41,26,27,1,7,1,1,3,0,11
"45",22200002,1610612744,"GSW",203110,"Draymond Green",24.6833333333333,2,5,0,0,0,0,1,4,0,0,1,0,5,5,1,1,60,4,1,0,4,2,0,5,0,0,2,10,2,0.9,0.9,52,44,32,1,13,2,0,1,1,9
"46",22200002,1610612744,"GSW",1626172,"Kevon Looney",21.1333333333333,3,4,0,0,1,1,2,7,1,0,0,2,4,2,0,1,53,5,2,0,10,3,0,2,0,0,6,15,0,0.8,0.8,33,29,15,0,3,0,2,3,1,5
"47",22200002,1610612744,"GSW",202691,"Klay Thompson",19.65,6,13,2,6,4,5,3,18,1,0,2,0,2,3,0,3,46,0,1,0,0,1,0,0,0,0,2,6,4,0.8,0.7,39,22,34,1,3,0,0,0,0,6
"48",22200002,1610612744,"GSW",201939,"Stephen Curry",32.8,10,22,4,13,9,9,1,33,4,1,4,1,5,7,2,5,82,0,4,0,1,3,0,0,1,0,4,9,8,1.5,1.2,75,45,59,2,15,0,1,2,1,8
"49",22200002,1610612744,"GSW",1629673,"Jordan Poole",28.1833333333333,4,15,2,9,2,2,2,12,2,0,4,0,2,7,0,1,68,3,3,0,0,3,0,0,0,1,4,10,6,1.3,1,68,45,62,1,14,0,0,1,0,2
"50",22200002,1610612744,"GSW",1630164,"James Wiseman",16.5166666666667,4,6,0,0,0,4,2,8,0,1,0,1,6,0,1,3,39,2,0,0,4,2,1,2,0,0,6,10,0,0.7,0.6,29,22,13,0,1,0,0,7,0,10
"51",22200002,1610612744,"GSW",203210,"JaMychal Green",23.4333333333333,3,6,2,3,0,0,1,8,1,0,0,5,2,0,0,0,56,1,2,0,3,7,2,1,0,0,6,10,0,0.9,0.8,29,23,13,0,4,0,5,5,1,5
"52",22200002,1610612744,"GSW",1630228,"Jonathan Kuminga",13.0666666666667,0,3,0,2,0,0,2,0,0,1,2,1,2,0,0,1,29,0,1,1,3,4,0,0,0,1,3,8,3,0.5,0.5,14,7,10,0,0,0,0,1,0,3
"53",22200002,1610612744,"GSW",1628978,"Donte DiVincenzo",21.6166666666667,3,6,1,2,1,2,2,8,1,0,4,0,2,2,0,1,51,1,2,0,1,3,0,0,0,0,4,13,5,0.9,0.7,46,35,30,1,3,0,0,2,0,5
"54",22200002,1610612744,"GSW",1630541,"Moses Moody",7.58333333333333,2,4,1,3,0,0,0,5,0,0,0,0,1,0,0,1,18,0,0,0,0,0,0,0,0,0,1,1,0,0.3,0.3,7,2,6,0,0,0,0,0,0,4
"55",22200002,1610612744,"GSW",1631157,"Ryan Rollins",1.86666666666667,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0.1,0.1,5,4,3,0,2,0,0,1,0,1
"57",22200003,1610612753,"ORL",1631094,"Paolo Banchero",35.3333333333333,11,18,0,0,5,7,5,27,0,2,4,2,7,5,1,5,75,0,0,0,6,4,1,3,0,0,6,17,10,1.5,1.2,71,42,48,0,6,0,1,3,4,14
"58",22200003,1610612753,"ORL",1630532,"Franz Wagner",34.1166666666667,8,18,2,6,2,2,2,20,0,0,5,1,3,5,1,2,74,0,2,0,4,2,0,0,2,0,6,9,13,1.5,1.2,64,36,54,1,10,0,0,1,1,3
"59",22200003,1610612753,"ORL",1628976,"Wendell Carter Jr.",32.65,5,8,1,2,0,0,4,11,1,1,3,0,11,3,0,4,69,6,1,0,7,2,0,3,0,0,5,14,3,1.2,1,62,50,37,0,8,0,0,5,4,15
"60",22200003,1610612753,"ORL",203082,"Terrence Ross",31.8166666666667,5,12,3,8,0,1,2,13,1,0,0,1,3,1,0,2,68,0,3,0,2,2,0,1,0,0,4,12,2,1.3,1,25,13,19,1,5,0,0,1,1,4
"61",22200003,1610612753,"ORL",1630591,"Jalen Suggs",25.2333333333333,8,11,4,6,1,1,6,21,2,0,4,1,0,3,0,2,53,1,1,0,1,4,0,0,0,1,4,12,4,1.1,0.8,58,42,40,0,5,0,1,4,0,1
"62",22200003,1610612753,"ORL",1631216,"Caleb Houstan",21.9166666666667,0,3,0,2,0,0,3,0,0,1,0,0,3,0,0,0,48,0,1,0,4,1,0,1,0,0,6,9,0,0.9,0.8,20,15,12,0,2,0,0,6,1,6
"63",22200003,1610612753,"ORL",1629626,"Bol Bol",17.5333333333333,4,6,0,0,2,2,0,10,0,1,2,2,4,0,0,1,38,0,0,0,6,3,1,0,0,0,4,10,4,0.7,0.7,14,6,6,0,0,0,1,4,0,6
"64",22200003,1610612753,"ORL",1628964,"Mo Bamba",12,0,5,0,4,0,2,0,0,0,0,0,1,1,1,1,2,27,3,0,0,2,4,0,2,1,0,5,8,0,0.5,0.4,18,12,14,0,2,0,0,3,1,3
"65",22200003,1610612753,"ORL",1629643,"Chuma Okeke",17.9166666666667,0,3,0,1,2,2,2,2,0,0,0,1,3,1,1,1,41,0,0,0,2,3,0,2,2,0,3,8,4,0.8,0.6,25,20,11,0,2,0,0,1,2,4
"66",22200003,1610612753,"ORL",1630181,"R.J. Hampton",11.4833333333333,1,2,1,1,2,2,0,5,1,0,0,1,3,2,0,2,26,0,3,0,0,1,0,0,0,0,3,7,5,0.5,0.4,23,18,13,0,2,0,1,2,1,5
