,game_id,game_date,home_team_id,away_team_ids,tv
171,0022200172,11/10/2022,1610612764,1610612742,
172,0022200173,11/10/2022,1610612737,1610612755,NBA TV
173,0022200174,11/10/2022,1610612748,1610612766,
174,0022200175,11/10/2022,1610612740,1610612757,
175,0022200176,11/11/2022,1610612738,1610612743,NBA TV
176,0022200177,11/11/2022,1610612753,1610612756,
177,0022200178,11/11/2022,1610612752,1610612765,
178,0022200179,11/11/2022,1610612760,1610612761,
179,0022200180,11/11/2022,1610612759,1610612749,
180,0022200181,11/11/2022,1610612763,1610612750,ESPN
181,0022200182,11/11/2022,1610612744,1610612739,
182,0022200183,11/11/2022,1610612747,1610612758,
183,0022200184,11/12/2022,1610612746,1610612751,
184,0022200185,11/12/2022,1610612764,1610612762,
185,0022200186,11/12/2022,1610612765,1610612738,
186,0022200187,11/12/2022,1610612754,1610612761,
187,0022200188,11/12/2022,1610612755,1610612737,
188,0022200189,11/12/2022,1610612748,1610612766,
189,0022200190,11/12/2022,1610612742,1610612757,
190,0022200191,11/12/2022,1610612740,1610612745,NBA TV
191,0022200192,11/13/2022,1610612752,1610612760,
192,0022200193,11/13/2022,1610612739,1610612750,
193,0022200194,11/13/2022,1610612764,1610612763,
194,0022200195,11/13/2022,1610612755,1610612762,
195,0022200196,11/13/2022,1610612741,1610612743,
196,0022200197,11/13/2022,1610612758,1610612744,
197,0022200198,11/13/2022,1610612747,1610612751,NBA TV
198,0022200199,11/14/2022,1610612765,1610612761,
199,0022200200,11/14/2022,1610612753,1610612766,
200,0022200201,11/14/2022,1610612738,1610612760,NBA TV
201,0022200202,11/14/2022,1610612748,1610612756,
202,0022200203,11/14/2022,1610612745,1610612746,
203,0022200204,11/14/2022,1610612749,1610612737,
204,0022200205,11/14/2022,1610612744,1610612759,
205,0022200206,11/15/2022,1610612740,1610612763,TNT
206,0022200207,11/15/2022,1610612742,1610612746,
207,0022200208,11/15/2022,1610612762,1610612752,
208,0022200209,11/15/2022,1610612757,1610612759,
209,0022200210,11/15/2022,1610612758,1610612751,TNT
210,0022200211,11/16/2022,1610612766,1610612754,
211,0022200212,11/16/2022,1610612753,1610612750,
212,0022200213,11/16/2022,1610612764,1610612760,
213,0022200214,11/16/2022,1610612737,1610612738,ESPN
214,0022200215,11/16/2022,1610612761,1610612748,
215,0022200216,11/16/2022,1610612749,1610612739,
216,0022200217,11/16/2022,1610612740,1610612741,
217,0022200218,11/16/2022,1610612742,1610612745,
218,0022200219,11/16/2022,1610612743,1610612752,
219,0022200220,11/16/2022,1610612756,1610612744,ESPN
220,0022200221,11/17/2022,1610612757,1610612751,
221,0022200222,11/17/2022,1610612758,1610612759,
222,0022200223,11/17/2022,1610612746,1610612765,
223,0022200224,11/18/2022,1610612764,1610612748,
224,0022200225,11/18/2022,1610612739,1610612766,
225,0022200226,11/18/2022,1610612755,1610612749,ESPN
226,0022200227,11/18/2022,1610612741,1610612753,
227,0022200228,11/18/2022,1610612745,1610612754,
228,0022200229,11/18/2022,1610612763,1610612760,
229,0022200230,11/18/2022,1610612742,1610612743,
230,0022200231,11/18/2022,1610612740,1610612738,
231,0022200232,11/18/2022,1610612762,1610612756,
232,0022200233,11/18/2022,1610612744,1610612752,ESPN
233,0022200234,11/18/2022,1610612747,1610612765,
234,0022200235,11/19/2022,1610612737,1610612761,
235,0022200236,11/19/2022,1610612754,1610612753,
236,0022200237,11/19/2022,1610612755,1610612750,NBA TV
237,0022200238,11/19/2022,1610612757,1610612762,NBA TV
238,0022200239,11/19/2022,1610612746,1610612759,
239,0022200240,11/20/2022,1610612756,1610612752,
240,0022200241,11/20/2022,1610612764,1610612766,
241,0022200242,11/20/2022,1610612758,1610612765,
242,0022200243,11/20/2022,1610612751,1610612763,
243,0022200244,11/20/2022,1610612739,1610612748,
244,0022200245,11/20/2022,1610612745,1610612744,
245,0022200246,11/20/2022,1610612742,1610612743,
246,0022200247,11/20/2022,1610612747,1610612759,
247,0022200248,11/21/2022,1610612739,1610612737,
248,0022200249,11/21/2022,1610612754,1610612753,
249,0022200250,11/21/2022,1610612741,1610612738,
250,0022200251,11/21/2022,1610612749,1610612757,
251,0022200252,11/21/2022,1610612750,1610612748,
252,0022200253,11/21/2022,1610612740,1610612744,NBA TV
253,0022200254,11/21/2022,1610612760,1610612752,
254,0022200255,11/21/2022,1610612746,1610612762,NBA TV
255,0022200256,11/22/2022,1610612755,1610612751,TNT
256,0022200257,11/22/2022,1610612763,1610612758,
257,0022200258,11/22/2022,1610612743,1610612765,
258,0022200259,11/22/2022,1610612756,1610612747,TNT
259,0022200260,11/23/2022,1610612766,1610612755,
260,0022200261,11/23/2022,1610612739,1610612757,
261,0022200262,11/23/2022,1610612754,1610612750,
262,0022200263,11/23/2022,1610612737,1610612758,
263,0022200264,11/23/2022,1610612738,1610612742,ESPN
264,0022200265,11/23/2022,1610612748,1610612764,
265,0022200266,11/23/2022,1610612761,1610612751,
266,0022200267,11/23/2022,1610612749,1610612741,
267,0022200268,11/23/2022,1610612760,1610612743,
268,0022200269,11/23/2022,1610612759,1610612740,
269,0022200270,11/23/2022,1610612762,1610612765,
270,0022200271,11/23/2022,1610612744,1610612746,ESPN
271,0022200272,11/25/2022,1610612766,1610612750,
272,0022200273,11/25/2022,1610612753,1610612755,
273,0022200274,11/25/2022,1610612752,1610612757,
274,0022200275,11/25/2022,1610612738,1610612758,
275,0022200276,11/25/2022,1610612754,1610612751,
276,0022200277,11/25/2022,1610612748,1610612764,
277,0022200278,11/25/2022,1610612745,1610612737,
278,0022200279,11/25/2022,1610612763,1610612740,NBA TV
279,0022200280,11/25/2022,1610612749,1610612739,
280,0022200281,11/25/2022,1610612760,1610612741,
281,0022200282,11/25/2022,1610612759,1610612747,
282,0022200283,11/25/2022,1610612756,1610612765,
283,0022200284,11/25/2022,1610612744,1610612762,
284,0022200285,11/25/2022,1610612746,1610612743,NBA TV
285,0022200286,11/26/2022,1610612761,1610612742,
286,0022200287,11/26/2022,1610612745,1610612760,NBA TV
287,0022200288,11/26/2022,1610612759,1610612747,
288,0022200289,11/26/2022,1610612756,1610612762,
289,0022200290,11/27/2022,1610612751,1610612757,
290,0022200291,11/27/2022,1610612750,1610612744,
291,0022200292,11/27/2022,1610612746,1610612754,
292,0022200293,11/27/2022,1610612737,1610612748,
293,0022200294,11/27/2022,1610612738,1610612764,
294,0022200295,11/27/2022,1610612765,1610612739,
295,0022200296,11/27/2022,1610612752,1610612763,
296,0022200297,11/27/2022,1610612753,1610612755,
297,0022200298,11/27/2022,1610612749,1610612742,NBA TV
298,0022200299,11/28/2022,1610612755,1610612737,NBA TV
299,0022200300,11/28/2022,1610612764,1610612750,
300,0022200301,11/28/2022,1610612738,1610612766,
301,0022200302,11/28/2022,1610612751,1610612753,
302,0022200303,11/28/2022,1610612761,1610612739,
303,0022200304,11/28/2022,1610612740,1610612760,
304,0022200305,11/28/2022,1610612743,1610612745,
305,0022200306,11/28/2022,1610612762,1610612741,
306,0022200307,11/28/2022,1610612758,1610612756,
307,0022200308,11/28/2022,1610612747,1610612754,
308,0022200309,11/29/2022,1610612765,1610612752,
309,0022200310,11/29/2022,1610612742,1610612744,TNT
310,0022200311,11/29/2022,1610612757,1610612746,TNT
311,0022200312,11/30/2022,1610612739,1610612755,
312,0022200313,11/30/2022,1610612753,1610612737,
313,0022200314,11/30/2022,1610612738,1610612748,NBA TV
314,0022200315,11/30/2022,1610612751,1610612764,
315,0022200316,11/30/2022,1610612752,1610612749,
316,0022200317,11/30/2022,1610612750,1610612763,
317,0022200318,11/30/2022,1610612740,1610612761,
318,0022200319,11/30/2022,1610612760,1610612759,
319,0022200320,11/30/2022,1610612743,1610612745,
320,0022200321,11/30/2022,1610612756,1610612741,
321,0022200322,11/30/2022,1610612762,1610612746,
322,0022200323,11/30/2022,1610612758,1610612754,
323,0022200324,11/30/2022,1610612747,1610612757,NBA TV
324,0022200325,12/01/2022,1610612765,1610612742,NBA TV
325,0022200326,12/02/2022,1610612766,1610612764,
326,0022200327,12/02/2022,1610612737,1610612743,
327,0022200328,12/02/2022,1610612738,1610612748,
328,0022200329,12/02/2022,1610612751,1610612761,
329,0022200330,12/02/2022,1610612739,1610612753,
330,0022200331,12/02/2022,1610612749,1610612747,ESPN
331,0022200332,12/02/2022,1610612763,1610612755,
332,0022200333,12/02/2022,1610612759,1610612740,
333,0022200334,12/02/2022,1610612756,1610612745,
334,0022200335,12/02/2022,1610612762,1610612754,
335,0022200336,12/02/2022,1610612744,1610612741,ESPN
336,0022200337,12/03/2022,1610612752,1610612742,
337,0022200338,12/03/2022,1610612746,1610612758,
338,0022200339,12/03/2022,1610612766,1610612749,
339,0022200340,12/03/2022,1610612761,1610612753,
340,0022200341,12/03/2022,1610612750,1610612760,
341,0022200342,12/03/2022,1610612744,1610612745,
342,0022200343,12/03/2022,1610612762,1610612757,
343,0022200344,12/04/2022,1610612740,1610612743,
344,0022200345,12/04/2022,1610612759,1610612756,
345,0022200346,12/04/2022,1610612751,1610612738,
346,0022200347,12/04/2022,1610612765,1610612763,
347,0022200348,12/04/2022,1610612752,1610612739,
348,0022200349,12/04/2022,1610612764,1610612747,
349,0022200350,12/04/2022,1610612758,1610612741,
350,0022200351,12/04/2022,1610612757,1610612754,NBA TV
351,0022200352,12/05/2022,1610612766,1610612746,
352,0022200353,12/05/2022,1610612753,1610612749,
353,0022200354,12/05/2022,1610612737,1610612760,
354,0022200355,12/05/2022,1610612761,1610612738,
355,0022200356,12/05/2022,1610612745,1610612755,
356,0022200357,12/05/2022,1610612763,1610612748,
357,0022200358,12/05/2022,1610612742,1610612756,NBA TV
358,0022200359,12/05/2022,1610612744,1610612754,
359,0022200360,12/06/2022,1610612739,1610612747,TNT
360,0022200361,12/06/2022,1610612748,1610612765,
361,0022200362,12/06/2022,1610612743,1610612742,TNT
362,0022200363,12/07/2022,1610612753,1610612746,
363,0022200364,12/07/2022,1610612751,1610612766,
364,0022200365,12/07/2022,1610612752,1610612737,ESPN
365,0022200366,12/07/2022,1610612761,1610612747,
366,0022200367,12/07/2022,1610612741,1610612764,
367,0022200368,12/07/2022,1610612763,1610612760,
368,0022200369,12/07/2022,1610612749,1610612758,
369,0022200370,12/07/2022,1610612750,1610612754,
370,0022200371,12/07/2022,1610612740,1610612765,
371,0022200372,12/07/2022,1610612762,1610612744,
372,0022200373,12/07/2022,1610612756,1610612738,ESPN
373,0022200374,12/08/2022,1610612748,1610612746,NBA TV
374,0022200375,12/08/2022,1610612759,1610612745,
375,0022200376,12/08/2022,1610612757,1610612743,NBA TV
376,0022200377,12/09/2022,1610612766,1610612752,
377,0022200378,12/09/2022,1610612754,1610612764,
378,0022200379,12/09/2022,1610612753,1610612761,
379,0022200380,12/09/2022,1610612751,1610612737,
380,0022200381,12/09/2022,1610612739,1610612758,
381,0022200382,12/09/2022,1610612755,1610612747,ESPN
382,0022200383,12/09/2022,1610612763,1610612765,
383,0022200384,12/09/2022,1610612740,1610612756,
384,0022200385,12/09/2022,1610612762,1610612750,
385,0022200386,12/09/2022,1610612742,1610612749,ESPN
386,0022200387,12/10/2022,1610612748,1610612759,
387,0022200388,12/10/2022,1610612754,1610612751,
388,0022200389,12/10/2022,1610612764,1610612746,
389,0022200390,12/10/2022,1610612739,1610612760,
390,0022200391,12/10/2022,1610612741,1610612742,
391,0022200392,12/10/2022,1610612744,1610612738,ABC
392,0022200393,12/10/2022,1610612743,1610612762,
393,0022200394,12/10/2022,1610612757,1610612750,
394,0022200395,12/11/2022,1610612740,1610612756,
395,0022200396,12/11/2022,1610612765,1610612747,
396,0022200397,12/11/2022,1610612752,1610612758,
397,0022200398,12/11/2022,1610612753,1610612761,
398,0022200399,12/11/2022,1610612755,1610612766,
399,0022200400,12/11/2022,1610612737,1610612741,
400,0022200401,12/11/2022,1610612745,1610612749,
401,0022200402,12/12/2022,1610612754,1610612748,
402,0022200403,12/12/2022,1610612764,1610612751,
403,0022200404,12/12/2022,1610612763,1610612737,NBA TV
404,0022200405,12/12/2022,1610612742,1610612760,
405,0022200406,12/12/2022,1610612759,1610612739,
406,0022200407,12/12/2022,1610612757,1610612750,
407,0022200408,12/12/2022,1610612746,1610612738,NBA TV
408,0022200409,12/13/2022,1610612755,1610612758,
409,0022200410,12/13/2022,1610612749,1610612744,TNT
410,0022200411,12/13/2022,1610612745,1610612756,
411,0022200412,12/13/2022,1610612762,1610612740,
412,0022200413,12/13/2022,1610612747,1610612738,TNT
413,0022200414,12/14/2022,1610612766,1610612765,
414,0022200415,12/14/2022,1610612754,1610612744,
415,0022200416,12/14/2022,1610612753,1610612737,
416,0022200417,12/14/2022,1610612761,1610612758,
417,0022200418,12/14/2022,1610612741,1610612752,ESPN
418,0022200419,12/14/2022,1610612760,1610612748,
419,0022200420,12/14/2022,1610612759,1610612757,
420,0022200421,12/14/2022,1610612742,1610612739,
421,0022200422,12/14/2022,1610612743,1610612764,
422,0022200423,12/14/2022,1610612746,1610612750,ESPN
423,0022200424,12/15/2022,1610612745,1610612748,
424,0022200425,12/15/2022,1610612763,1610612749,NBA TV
