,game_id,attendance
309,0022200310,20277.0
310,0022200311,17251.0
311,0022200312,19432.0
312,0022200313,15344.0
313,0022200314,19156.0
314,0022200315,15963.0
315,0022200316,17277.0
316,0022200317,15980.0
317,0022200318,14845.0
318,0022200319,15605.0
319,0022200320,16286.0
320,0022200321,17071.0
321,0022200322,18206.0
322,0022200323,17611.0
323,0022200324,18560.0
324,0022200325,18106.0
325,0022200326,15231.0
326,0022200327,16974.0
327,0022200328,19156.0
328,0022200329,17732.0
329,0022200330,19432.0
330,0022200331,17938.0
331,0022200332,17022.0
332,0022200333,17202.0
333,0022200334,17071.0
334,0022200335,18206.0
335,0022200336,18064.0
336,0022200337,18319.0
337,0022200338,16587.0
338,0022200339,18128.0
339,0022200340,19800.0
340,0022200341,17136.0
341,0022200342,18064.0
342,0022200343,18206.0
343,0022200344,15658.0
344,0022200345,16409.0
345,0022200346,18043.0
346,0022200347,20088.0
347,0022200348,19007.0
348,0022200349,19647.0
349,0022200350,17611.0
350,0022200351,17479.0
351,0022200352,13945.0
352,0022200353,16174.0
353,0022200354,16301.0
354,0022200355,19800.0
355,0022200356,15331.0
356,0022200357,16122.0
357,0022200358,20227.0
358,0022200359,18064.0
359,0022200360,19432.0
360,0022200361,19600.0
361,0022200362,19520.0
362,0022200363,14429.0
363,0022200364,16903.0
364,0022200365,18091.0
365,0022200366,19800.0
366,0022200367,19265.0
367,0022200368,15942.0
368,0022200369,17341.0
369,0022200370,15472.0
370,0022200371,14073.0
371,0022200372,18206.0
372,0022200373,17071.0
373,0022200374,19600.0
374,0022200375,13140.0
375,0022200376,18189.0
376,0022200377,17696.0
377,0022200378,15039.0
378,0022200379,17008.0
379,0022200380,18072.0
380,0022200381,19432.0
381,0022200382,20852.0
382,0022200383,17103.0
383,0022200384,16381.0
384,0022200385,18206.0
385,0022200386,20277.0
386,0022200387,19600.0
387,0022200388,14280.0
388,0022200389,18404.0
389,0022200390,19432.0
390,0022200391,19528.0
391,0022200392,18064.0
392,0022200393,19636.0
393,0022200394,18324.0
394,0022200395,18681.0
395,0022200396,20190.0
396,0022200397,19812.0
397,0022200398,16891.0
398,0022200399,19765.0
399,0022200400,17227.0
400,0022200401,16268.0
401,0022200402,15309.0
402,0022200403,16090.0
403,0022200404,16544.0
404,0022200405,19877.0
405,0022200406,13434.0
406,0022200407,18021.0
407,0022200408,19068.0
408,0022200409,19768.0
409,0022200410,17628.0
410,0022200411,15128.0
411,0022200412,18206.0
412,0022200413,18661.0
413,0022200414,14303.0
414,0022200415,15069.0
415,0022200416,16002.0
416,0022200417,19800.0
417,0022200418,18820.0
418,0022200419,14783.0
419,0022200420,13657.0
420,0022200421,20093.0
421,0022200422,19550.0
422,0022200423,14063.0
423,0022200424,16210.0
424,0022200425,17794.0
425,0022200426,18206.0
426,0022200427,15778.0
427,0022200428,17772.0
428,0022200429,17892.0
429,0022200430,19156.0
430,0022200431,19432.0
431,0022200432,20567.0
432,0022200433,19800.0
433,0022200434,19661.0
434,0022200435,14885.0
435,0022200436,20191.0
436,0022200437,18505.0
437,0022200438,15018.0
438,0022200439,20160.0
439,0022200440,19432.0
440,0022200441,16217.0
441,0022200442,17587.0
442,0022200443,16895.0
443,0022200444,17071.0
444,0022200445,19156.0
445,0022200446,14513.0
446,0022200447,19488.0
447,0022200448,19800.0
448,0022200449,16294.0
449,0022200450,19235.0
450,0022200451,18153.0
451,0022200452,19432.0
452,0022200453,20408.0
453,0022200454,17809.0
454,0022200455,15928.0
455,0022200456,16627.0
456,0022200457,18271.0
457,0022200458,14672.0
458,0022200459,17071.0
459,0022200460,17803.0
460,0022200461,15622.0
461,0022200462,19969.0
462,0022200463,19812.0
463,0022200464,17071.0
464,0022200465,19605.0
465,0022200466,19432.0
466,0022200467,20615.0
467,0022200468,17226.0
468,0022200469,19156.0
469,0022200470,18026.0
470,0022200471,19294.0
471,0022200472,15965.0
472,0022200473,16164.0
473,0022200474,15107.0
474,0022200475,17611.0
475,0022200476,19068.0
476,0022200477,16417.0
477,0022200478,18206.0
478,0022200479,18425.0
479,0022200480,19996.0
480,0022200481,17028.0
481,0022200482,19156.0
482,0022200483,18169.0
483,0022200484,19432.0
484,0022200485,19812.0
485,0022200486,19600.0
486,0022200487,16989.0
487,0022200488,15214.0
488,0022200489,19619.0
489,0022200490,17071.0
490,0022200491,17894.0
491,0022200492,18997.0
492,0022200493,19812.0
493,0022200494,20441.0
494,0022200495,19156.0
495,0022200496,18064.0
496,0022200497,19642.0
497,0022200498,19432.0
498,0022200499,20190.0
499,0022200500,19911.0
500,0022200501,21561.0
501,0022200502,18636.0
502,0022200503,16351.0
503,0022200504,19530.0
504,0022200505,19482.0
505,0022200506,20476.0
506,0022200507,19156.0
507,0022200508,16738.0
508,0022200509,19800.0
509,0022200510,18239.0
510,0022200511,16229.0
511,0022200512,20377.0
512,0022200513,18064.0
513,0022200514,17937.0
514,0022200515,20190.0
515,0022200516,20476.0
516,0022200517,18030.0
517,0022200518,20221.0
518,0022200519,21537.0
519,0022200520,18669.0
520,0022200521,18064.0
521,0022200522,17985.0
522,0022200523,19425.0
