"","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_ID","PLAYER_NAME","FG2O","FG2X","FG3O","FG3X","FTMO","FTMX","PF","PTS","STL","AORB","ADRB","AST","BLK","TOV","BLKA","PFD","SAST","DEFL","CHGD","AC2P","C3P","OBOX","DBOX","OLBR","DLBR","DFGO","DFGX","DRV","ODIS","DDIS","APM","AST2","FAST","OCRB","AORC","DCRB","ADRC"
"21090",22201002,1610612759,"SAS",1631103,"Malaki Branham",2,3,0,2,0,0,5,4,1,1,2,3,0,2,0,0,0,1,0,3,1,0,0,1,0,2,7,6,1.2,1,29,0,0,0,0,1,0
"21091",22201002,1610612759,"SAS",1630200,"Tre Jones",5,1,0,1,4,1,1,14,3,0,2,8,0,3,0,3,0,4,0,1,2,0,1,0,0,4,10,15,1.1,0.9,31,0,1,0,1,0,1
"21092",22201002,1610612759,"SAS",203926,"Doug McDermott",3,1,4,0,2,1,2,20,1,2,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,1,5,1.3,1,24,1,0,0,0,1,1
"21093",22201002,1610612759,"SAS",1629646,"Charles Bassey",2,1,0,1,0,0,3,4,1,1,2,1,0,0,0,0,2,0,0,5,1,0,0,0,0,6,7,0,0.6,0.5,18,0,0,1,3,0,1
"21094",22201002,1610612759,"SAS",1628966,"Keita Bates-Diop",3,1,1,1,0,0,0,9,0,1,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,4,2,2,0.6,0.5,14,0,0,2,2,0,1
"21095",22201002,1610612759,"SAS",1630572,"Sandro Mamukelashvili",2,0,2,1,1,1,3,11,0,0,2,2,0,0,0,1,1,0,0,1,1,0,0,0,1,4,4,1,0.6,0.3,11,0,0,1,1,1,1
"21096",22201003,1610612761,"TOR",1628384,"OG Anunoby",8,0,4,2,3,0,1,31,5,0,2,1,0,5,0,2,0,5,0,2,2,0,0,0,0,9,5,7,1.4,1.2,33,0,0,0,1,0,2
"21097",22201003,1610612761,"TOR",1627783,"Pascal Siakam",3,5,2,3,0,0,3,12,0,0,3,2,1,1,2,1,0,0,0,4,2,0,0,0,0,12,9,1,1.4,1.3,38,1,0,0,2,1,3
"21098",22201003,1610612761,"TOR",1627751,"Jakob Poeltl",8,9,0,0,1,1,2,17,3,0,3,4,1,0,3,1,1,3,0,5,4,0,0,1,0,6,9,0,1.3,1.2,41,0,0,4,9,3,4
"21099",22201003,1610612761,"TOR",1630567,"Scottie Barnes",12,3,1,3,5,1,3,32,1,2,5,7,0,1,0,3,0,2,0,1,2,0,0,1,0,7,6,13,1.4,1.4,59,1,2,1,1,1,2
"21100",22201003,1610612761,"TOR",1627832,"Fred VanVleet",1,2,2,4,0,0,3,8,3,0,3,10,0,4,0,1,2,5,0,1,3,0,0,1,1,9,5,9,1.4,1.3,50,2,1,0,0,1,2
"21101",22201003,1610612761,"TOR",1629018,"Gary Trent Jr.",0,6,0,3,0,0,0,0,1,0,1,2,0,0,2,1,0,0,0,1,1,1,0,0,0,2,3,4,0.8,0.7,10,0,1,1,2,0,0
"21102",22201003,1610612761,"TOR",1630173,"Precious Achiuwa",2,2,0,1,1,1,2,5,0,0,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0.4,0.3,11,0,0,1,1,0,0
"21103",22201003,1610612761,"TOR",1628449,"Chris Boucher",1,1,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0.4,0.3,7,0,0,0,1,1,1
"21104",22201003,1610612761,"TOR",203115,"Will Barton",1,0,1,1,0,0,1,5,1,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,3,2,0,0.6,0.5,22,1,0,0,0,1,0
"21105",22201003,1610612761,"TOR",201152,"Thaddeus Young",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0.1,0.1,5,0,0,0,0,0,0
"21106",22201003,1610612747,"LAL",1628972,"Troy Brown Jr.",1,0,1,2,0,0,1,5,1,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,4,6,1,1,0.9,23,0,1,0,0,2,4
"21107",22201003,1610612747,"LAL",1629020,"Jarred Vanderbilt",3,0,2,2,4,0,2,16,2,1,3,1,0,3,0,4,0,3,0,4,3,0,0,0,1,11,4,3,1.2,1.1,27,0,0,0,3,0,3
"21108",22201003,1610612747,"LAL",203076,"Anthony Davis",4,3,0,0,0,0,3,8,0,1,2,3,4,1,0,1,8,2,0,6,3,0,1,0,0,15,11,1,1.2,0.9,36,1,0,2,0,4,4
"21109",22201003,1610612747,"LAL",1627736,"Malik Beasley",0,1,1,4,1,0,0,4,0,0,4,0,0,3,0,0,0,0,0,2,2,0,1,0,0,2,5,1,0.8,0.7,16,0,0,0,0,0,2
"21110",22201003,1610612747,"LAL",1626156,"D'Angelo Russell",5,4,5,3,3,0,0,28,1,1,4,9,0,4,1,2,0,2,0,2,0,0,0,0,1,12,4,13,1.3,0.9,39,0,0,0,0,0,1
"21111",22201003,1610612747,"LAL",1629060,"Rui Hachimura",6,1,1,1,1,0,0,16,0,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,2,1,4,0.8,0.7,13,0,0,0,1,2,1
"21112",22201003,1610612747,"LAL",1630559,"Austin Reaves",6,2,0,2,6,0,3,18,0,0,2,5,1,1,1,5,1,0,0,2,1,0,0,0,0,2,11,9,1.3,1,27,0,0,0,0,0,3
"21113",22201003,1610612747,"LAL",203471,"Dennis Schroder",5,6,3,3,4,0,0,23,4,0,1,7,0,6,0,3,1,4,0,1,2,0,0,0,2,5,4,15,1.3,1.1,33,1,0,0,0,0,2
"21114",22201003,1610612747,"LAL",1629117,"Wenyen Gabriel",2,1,0,0,0,0,1,4,0,0,2,2,3,0,0,0,1,0,0,4,0,0,2,0,0,3,5,1,0.6,0.6,11,0,0,0,1,2,4
"21115",22201004,1610612752,"NYK",1629628,"RJ Barrett",4,5,1,2,0,0,1,11,1,0,2,1,0,3,0,0,0,1,0,4,3,0,0,0,1,8,4,12,1.1,1,24,1,1,0,2,0,2
"21116",22201004,1610612752,"NYK",203944,"Julius Randle",2,12,3,7,6,2,5,19,0,0,7,3,0,2,2,5,2,2,0,2,3,0,0,1,0,8,5,8,1.3,1.1,41,0,0,1,6,0,3
"21117",22201004,1610612752,"NYK",1629011,"Mitchell Robinson",2,6,0,0,2,0,0,6,1,1,4,1,2,1,1,2,3,2,0,7,2,3,2,0,0,6,3,0,1.1,0.9,26,0,0,7,6,2,3
"21118",22201004,1610612752,"NYK",1629656,"Quentin Grimes",3,1,0,4,1,0,3,7,0,0,1,4,0,0,0,1,0,3,0,3,3,0,0,0,0,9,10,4,1.3,1,28,0,0,1,0,0,1
"21119",22201004,1610612752,"NYK",1630193,"Immanuel Quickley",5,5,3,5,7,1,2,26,1,3,6,4,0,0,0,6,1,2,0,2,6,0,0,3,1,8,9,19,1.8,1.3,71,0,0,1,1,0,2
"21120",22201004,1610612752,"NYK",1628392,"Isaiah Hartenstein",2,2,0,1,0,0,2,4,1,0,1,3,0,0,1,1,1,1,0,4,0,2,2,0,1,3,5,0,0.8,0.7,26,0,0,3,6,1,2
"21121",22201004,1610612752,"NYK",1628404,"Josh Hart",3,2,0,1,4,0,3,10,0,2,3,4,0,2,0,3,0,2,0,1,3,0,0,0,0,4,11,11,1.2,1.1,44,0,1,1,2,2,3
"21122",22201004,1610612752,"NYK",1630540,"Miles McBride",0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,2,2,0.2,0.2,7,0,0,0,0,0,0
"21123",22201004,1610612752,"NYK",1630167,"Obi Toppin",4,1,0,4,2,0,0,10,0,0,5,1,0,1,0,1,0,0,0,2,0,0,1,0,0,2,3,2,0.6,0.4,19,0,0,0,2,0,0
"21124",22201004,1610612746,"LAC",202694,"Marcus Morris Sr.",1,2,3,1,0,0,4,11,0,1,3,1,0,0,0,0,0,0,0,0,1,0,1,1,1,5,5,0,1.1,1,28,0,0,0,1,1,2
"21125",22201004,1610612746,"LAC",202695,"Kawhi Leonard",11,5,3,3,7,0,2,38,1,0,3,2,0,1,0,5,1,4,0,6,3,0,0,0,0,0,13,8,1.4,1.2,30,0,0,0,2,1,4
