name,22.23_salary
Derrick Jones,"$3,200,000 "
Dalen Terry,"$3,191,400 "
Sterling Brown,"$3,122,602 "
Josh Green,"$3,098,400 "
Jake LaRavia,"$3,047,640 "
Tre Mann,"$3,046,200 "
Kevin Knox,"$3,000,000 "
Saddiq Bey,"$2,959,080 "
Malaki Branham,"$2,925,600 "
Joe Wieskamp,"$2,909,261 "
Kai Jones,"$2,909,040 "
Blake Griffin,"$2,905,851 "
Robin Lopez,"$2,905,851 "
Markieff Morris,"$2,905,851 "
Andre Iguodala,"$2,905,851 "
Serge Ibaka,"$2,905,851 "
Udonis Haslem,"$2,905,851 "
Wesley Matthews,"$2,905,851 "
Austin Rivers,"$2,905,851 "
Bismack Biyombo,"$2,905,851 "
Taj Gibson,"$2,905,851 "
RJ Hampton,"$2,898,243 "
Andrew Nicholson,"$2,844,429 "
Precious Achiuwa,"$2,840,160 "
Christian Braun,"$2,808,600 "
Jordan Nwora,"$2,800,000 "
Jalen Johnson,"$2,792,640 "
Tyrese Maxey,"$2,726,880 "
Bruno Fernando,"$2,717,391 "
Walker Kessler,"$2,696,400 "
Keon Johnson,"$2,681,040 "
Charles Bassey,"$2,674,742 "
Dennis Schroeder,"$2,641,682 "
TJ Warren,"$2,628,597 "
Matthew Dellavedova,"$2,628,597 "
Trey Lyles,"$2,625,000 "
Zeke Nnaji,"$2,617,800 "
David Roddy,"$2,588,640 "
Isaiah Jackson,"$2,573,760 "
MarJon Beauchamp,"$2,485,200 "
Usman Garuba,"$2,471,160 "
Montrezl Harrell,"$2,463,490 "
Raul Neto,"$2,463,490 "
Frank Kaminsky,"$2,463,490 "
Willy Hernangomez,"$2,443,581 "
Theo Maledon,"$2,408,891 "
Blake Wesley,"$2,385,480 "
Josh Christopher,"$2,372,160 "
Isaiah Roby,"$2,330,681 "
Lindy Waters III,"$2,316,876 "
Immanuel Quickley,"$2,316,240 "
Wendell Moore,"$2,306,520 "
John Konchar,"$2,300,000 "
Damian Jones,"$2,298,385 "
Rodney McGruder,"$2,298,385 "
Bryn Forbes,"$2,298,385 "
Juan Hernangomez,"$2,298,385 "
Quentin Grimes,"$2,277,000 "
Saben Lee,"$2,266,640 "
Andrew Nembhard,"$2,244,111 "
Nikola Jovic,"$2,239,920 "
Payton Pritchard,"$2,239,200 "
Vlatko Cancar,"$2,234,359 "
Patrick Baldwin,"$2,226,000 "
TyTy Washington,"$2,210,040 "
Bones Hyland,"$2,201,520 "
Bol Bol,"$2,200,000 "
Peyton Watson,"$2,193,960 "
Marquese Chriss,"$2,193,920 "
Udoka Azubuike,"$2,174,880 "
Jaden McDaniels,"$2,161,440 "
Jordan McLaughlin,"$2,160,000 "
Malachi Flynn,"$2,145,720 "
Cam Thomas,"$2,138,160 "
Luke Kornet,"$2,133,278 "
Dennis Smith,"$2,133,278 "
Damion Lee,"$2,133,278 "
Juan Toscano-Anderson,"$2,133,278 "
Desmond Bane,"$2,130,240 "
Jaden Springer,"$2,125,200 "
Day'Ron Sharpe,"$2,109,480 "
Santiago Aldama,"$2,094,120 "
Tony Bradley,"$2,036,318 "
Frank Ntilikina,"$2,036,318 "
Kenrich Williams,"$2,000,000 "
Garrison Mathews,"$2,000,000 "
Jaylin Williams,"$2,000,000 "
Caleb Houstan,"$2,000,000 "
Jeremiah Robinson-Earl,"$2,000,000 "
Shake Milton,"$1,997,718 "
Edmond Sumner,"$1,968,175 "
Aaron Holiday,"$1,968,175 "
Yuta Watanabe,"$1,968,175 "
Theo Pinson,"$1,968,175 "
Thomas Bryant,"$1,968,175 "
